Date,close,Open,High,Low,Vol.,Change %
27 10 2024,24205.35,24251.10,24498.20,24134.90,1.18B,0.10%
20 10 2024,24180.80,24956.15,24978.30,24073.90,1.40B,-2.71%
13 10 2024,24854.05,25023.45,25212.05,24567.65,1.23B,-0.44%
06 10 2024,24964.25,25084.10,25234.05,24694.35,1.47B,-0.20%
29 09 2024,25014.60,26061.30,26134.70,24966.80,1.39B,-4.45%
22 09 2024,26178.95,25872.55,26277.35,25847.35,1.73B,1.50%
15 09 2024,25790.95,25406.65,25849.25,25285.55,1.45B,1.71%
08 09 2024,25356.50,24823.40,25433.35,24753.15,1.42B,2.03%
01 09 2024,24852.15,25333.60,25333.65,24801.30,1.22B,-1.52%
25 08 2024,25235.90,24906.10,25268.35,24874.70,1.65B,1.66%
18 08 2024,24823.15,24636.35,24867.35,24522.95,1.17B,1.15%
11 08 2024,24541.15,24320.05,24563.90,24099.70,1.09B,0.71%
04 08 2024,24367.50,24302.85,24419.75,23893.70,1.64B,-1.42%
28 07 2024,24717.70,24943.30,25078.30,24686.85,1.85B,-0.47%
21 07 2024,24834.85,24445.75,24861.15,24074.20,1.90B,1.24%
14 07 2024,24530.90,24587.60,24854.80,24504.45,1.28B,0.12%
07 07 2024,24502.15,24329.45,24592.20,24141.80,1.44B,0.73%
30 06 2024,24323.85,23992.95,24401.00,23992.70,1.39B,1.30%
23 06 2024,24010.60,23382.30,24174.00,23350.00,1.70B,2.17%
16 06 2024,23501.10,23570.80,23667.10,23398.20,1.49B,0.15%
09 06 2024,23465.60,23319.15,23490.40,23206.65,1.40B,0.75%
02 06 2024,23290.15,23337.90,23338.70,21281.45,3.17B,3.37%
26 05 2024,22530.70,23038.95,23110.80,22417.00,1.69B,-1.86%
19 05 2024,22957.10,22404.55,23026.40,22404.55,1.27B,2.19%
12 05 2024,22466.10,22027.95,22502.15,21821.05,1.35B,1.86%
05 05 2024,22055.20,22561.60,22588.80,21932.40,1.49B,-1.87%
28 04 2024,22475.85,22475.55,22794.70,22348.05,1.54B,0.25%
21 04 2024,22419.95,22336.90,22625.95,22198.15,1.55B,1.23%
14 04 2024,22147.00,22339.05,22427.45,21777.65,1.49B,-1.65%
07 04 2024,22519.40,22578.35,22775.70,22503.75,1.09B,0.03%
31 03 2024,22513.70,22455.00,22619.00,22303.80,1.49B,0.84%
24 03 2024,22326.90,21947.90,22516.00,21947.55,1.15B,1.04%
17 03 2024,22096.75,21990.10,22180.70,21710.20,1.75B,0.33%
10 03 2024,22023.35,22517.50,22526.60,21905.65,2.16B,-2.09%
03 03 2024,22493.55,22403.50,22525.65,22224.35,1.29B,0.69%
25 02 2024,22338.75,22169.20,22353.30,21860.65,1.37B,0.57%
18 02 2024,22212.70,22103.45,22297.50,21875.25,1.23B,0.78%
11 02 2024,22040.70,21800.80,22068.65,21530.20,1.70B,1.19%
04 02 2024,21782.50,21921.05,22053.30,21629.90,2.00B,-0.33%
